Benevolence,Universal,Self-direction,Stimulation,Hedonism,Achievement ,Power,Security,Conformity,Tradition,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0.8,0.8,0.7,0.7,0.8,1.0,0.3,1.0,0.7,0.7,0.7,0.528,0.625,0.639,0.562
0.8,0.933,1.0,1.0,1.0,0.8,0.5,0.4,1.0,0.9,0.65,0.472,0.406,0.778,0.75
0.6,0.8,1.0,0.9,0.6,0.9,0.9,0.9,0.8,0.9,0.675,0.444,0.5,0.556,0.594
0.4,0.267,0.9,0.6,0.4,0.4,0.4,0.9,0.1,0.1,0.675,0.472,0.469,0.361,0.656
0.7,0.533,0.6,0.8,0.6,0.9,0.4,0.9,0.3,0.6,0.6,0.5,0.531,0.417,0.781
1.0,0.933,1.0,1.0,0.7,0.5,0.2,0.4,0.0,0.4,0.725,0.361,0.75,0.611,0.5
1.0,0.533,0.3,0.3,0.5,0.9,1.0,0.8,0.6,0.8,0.45,0.306,0.344,0.722,0.875
1.0,0.733,0.9,0.7,0.7,0.5,1.0,0.6,0.4,0.4,0.7,0.5,0.375,0.417,0.594
0.9,0.933,0.9,0.7,0.8,1.0,0.8,0.8,0.9,0.7,0.7,0.611,0.438,0.611,0.469
0.9,0.667,0.9,0.9,0.8,0.4,0.3,0.8,0.6,0.6,0.55,0.528,0.469,0.694,0.438
1.0,0.733,0.8,0.8,0.9,0.9,0.4,0.8,0.7,0.7,0.625,0.694,0.594,0.694,0.25
0.9,0.933,0.8,0.7,0.5,0.7,0.5,1.0,0.4,0.7,0.775,0.583,0.562,0.75,0.5
0.6,0.867,1.0,0.6,0.8,0.6,0.6,0.9,1.0,0.7,0.725,0.583,0.406,0.556,0.5
0.8,0.867,1.0,0.8,0.3,1.0,0.4,0.8,0.8,0.9,0.575,0.528,0.562,0.778,0.5
0.7,0.933,1.0,0.8,0.2,0.9,0.4,0.8,0.7,0.6,0.55,0.583,0.469,0.611,0.5
